"postId","Job Title","skills","rowType"
"2","Digital Marketing Specialist","Social media platforms (e.g., Facebook, Twitter, Instagram) Content creation and scheduling Social media analytics and insights Community engagement Paid social advertising","Train"
"3","Web Developer","HTML, CSS, JavaScript Frontend frameworks (e.g., React, Angular) User experience (UX)","Train"
"4","Operations Manager","Quality control processes and methodologies Statistical process control (SPC) Root cause analysis and corrective action Quality management systems (e.g., ISO 9001) Compliance and regulatory knowledge","Train"
"5","Network Engineer","Wireless network design and architecture Wi-Fi standards and protocols RF (Radio Frequency) planning and optimization Wireless security protocols Troubleshooting wireless network issues","Train"
"6","Event Manager","Event planning Conference logistics Budget management Vendor coordination Marketing and promotion Client relations","Train"
"7","Software Tester","Quality assurance processes Testing methodologies (e.g., manual, automated) Bug tracking and reporting Test case development Regression testing","Train"
"8","Teacher","Teaching pedagogy Classroom management Curriculum development Student assessment Differentiated instruction","Train"
"9","UX/UI Designer","UI design principles and best practices Graphic design tools (e.g., Adobe Photoshop, Illustrator) Typography and color theory Visual design and layout Responsive design","Train"
"10","UX/UI Designer","Interaction design principles User behavior and psychology Wireframing and prototyping tools Animation and micro-interaction design Collaborative design processes","Train"
"11","Wedding Planner","Wedding planning Vendor coordination Event management","Train"
"12","QA Analyst","Performance testing Load testing Stress testing Test scenarios Performance monitoring Benchmarking Performance analysis","Train"
"13","Litigation Attorney","Family law Divorce proceedings Child custody Mediation Legal counseling Court representation","Train"
"14","Mechanical Engineer","Mechanical engineering CAD software (e.g., SolidWorks, AutoCAD) Finite element analysis Product development Prototyping","Train"
"15","Network Administrator","Network security protocols Intrusion detection and prevention Security incident response Firewall administration Vulnerability assessment Security policies and procedures Log analysis Ethical hacking Problem-solving Communication skills Attention to detail","Train"
"16","Account Manager","Account management Sales strategy Negotiation and closing skills","Train"
"17","Brand Manager","Product branding and marketing Product lifecycle management Cross-functional team collaboration Product launch planning Market segmentation and targeting","Train"
"18","Social Worker","School social work principles Student assessment and intervention Special education laws Individualized education plans (IEPs) Crisis management Collaboration with educators Family engagement Advocacy Empathy and communication Documentation Cultural competence Licensing and certification","Train"
"19","Social Media Coordinator","Content creation (e.g., writing, editing, graphic design, video production) Content marketing Social media management SEO optimization Creative storytelling Audience engagement Analytics and reporting Adaptability Communication skills Creativity","Train"
"20","Email Marketing Specialist","Email deliverability best practices Spam filter testing List hygiene Blacklist monitoring Email authentication (e.g., SPF, DKIM) Deliverability metrics analysis Troubleshooting deliverability issues Communication skills Data analysis Attention to detail","Train"
"21","HR Generalist","Human resources Recruitment Employee onboarding HRIS (HR Information Systems) Record keeping Communication skills","Train"
"22","Legal Assistant","Legal administrative tasks Document management Calendar and docketing Transcription File organization Communication with clients and courts Knowledge of legal terminology Attention to detail Multitasking Computer skills (e.g., MS Office)","Train"
"23","Nurse Practitioner","Family medicine Health assessment Pediatric care Chronic disease management Patient education","Train"
"24","Account Director","Account management Client relations Marketing strategies Campaign optimization Data analysis Communication skills","Train"
"25","Software Engineer","Proficiency in one or more backend programming languages (e.g., Java, Python, Node.js, Ruby) API development Database management (SQL or NoSQL) Server management and deployment Security best practices Knowledge of web frameworks (e.g., Express, Django)","Train"
"26","Purchasing Agent","Supply chain logistics Inventory management Communication skills Problem-solving Vendor coordination","Train"
"28","Sales Consultant","B2B sales Business-to-business sales strategies Lead generation Sales negotiations Client relationship building Market research","Train"
"29","Civil Engineer","Structural engineering principles Structural analysis and design software (e.g., AutoCAD, SAP2000) Building codes and standards Project management Structural integrity assessment","Train"
"30","Network Security Specialist","SOC operations Security incident response Threat detection Log analysis Security tools (e.g., IDS/IPS) Security alerts triage","Train"
"31","UI Developer","Front-end web development HTML, CSS, JavaScript Responsive design Web performance optimization Cross-browser compatibility","Train"
"32","Financial Planner","Tax planning strategies Tax law knowledge Financial analysis Retirement planning Estate planning Client relationship management Tax optimization Communication skills Attention to detail Tax software proficiency Regulatory compliance","Train"
"33","Event Planner","Event planning Vendor coordination Budget management Marketing and promotion Logistics","Train"
"34","Psychologist","Clinical psychology Counseling skills Assessment tools Diagnostic skills Empathy and listening skills","Train"
"35","Electrical Designer","Electrical engineering Circuit design Electronics AutoCAD proficiency Problem-solving","Train"
"36","Electrical Designer","Lighting design Architectural lighting Lighting software proficiency Creative lighting concepts Technical knowledge","Train"
"37","Data Analyst","Data analysis and visualization tools (e.g., Tableau, Power BI) SQL and database querying Business intelligence concepts Data modeling and reporting Strong analytical and problem-solving skills Data-driven decision-making","Train"
"38","Technical Writer","Writing skills Content creation SEO knowledge Research skills Grammar and proofreading","Train"
"40","Tax Consultant","Tax law knowledge Individual tax planning Tax return preparation Tax deductions and credits Tax compliance IRS regulations Client relationship management Communication skills Attention to detail Tax software proficiency","Train"
"41","Software Tester","Test automation tools (e.g., Selenium, Appium) Scripting languages (e.g., Python, Java) Test framework development Continuous integration tools Test data management","Train"
"42","Account Executive","Sales strategies and tactics Account management Relationship building Sales forecasting Industry and product knowledge","Train"
"43","Systems Administrator","Technical troubleshooting Hardware and software support Customer service Problem-solving Communication","Train"
"46","Database Administrator","Database design and development SQL and database querying Data modeling Programming languages (e.g., Java, Python) Data security and privacy regulations knowledge","Train"
"47","Research Analyst","Social science research methods Qualitative and quantitative data analysis Survey design and implementation Ethnographic research Interviewing skills Research ethics Statistical software (e.g., Stata, NVivo) Report writing Communication skills Critical thinking Empathy","Train"
"48","Data Entry Clerk","Records management Data entry and retrieval Attention to detail","Train"
"49","Registered Nurse","Nursing care Patient assessment Medical knowledge","Train"
"50","Tax Consultant","International tax law knowledge Transfer pricing Cross-border tax planning Tax treaties and agreements Foreign tax credits International tax compliance Transfer pricing documentation Multinational tax strategies Client relationship management Communication skills Tax software proficiency","Train"
"51","Investment Analyst","Risk assessment Data analysis Financial modeling Risk management tools Regulatory compliance knowledge","Train"
