postId,skills,Job Title,rowType
0," Media Planning, Digital Media",Media Planning Executive/Manager,Train
1," pre sales, closing, software knowledge, clients, requirements, negotiating, client, online bidding, good communication, technology",Sales Executive/Officer,Train
2," Computer science, Fabrication, Quality check, Intellectual property, Electronics, Support services, Research, Management, Human resource management, Research Executive",R&D Executive,Train
3, Technical Support,Technical Support Engineer,Train
4," manual testing, test engineering, test cases, web testing, web technologies",Testing Engineer,Train
5," adobe experience manager, digital, digital marketing, adobe analytics, data analytics, aem, adobe, sitecatalyst",System Analyst,Train
6," channel partners, real estate, negotiation, property, Residential Sales",Sales Executive/Officer,Train
7," TFS, Azure, Git, VSTS, Docker, DynaTrace, Splunk, AWS",Technical Architect,Train
8, Bde,Sales Executive/Officer,Train
9," technical support, support services, application support, communication skills, voice based process, semi voice, semi voice process",Associate/Senior Associate -(Technical),Train
10," secretary, executive assistant, ea",Corporate Planning/Strategy Manager,Train
11," website, web analytics, xml, link building, google analytics, case studies, seo, social media, tracking, maintaining",Webmaster,Train
12," operations, workflow, tat, monitoring, mts, email",Process Flow Analyst,Train
13,"Oracle IDAM,OIM,OAM",Software Developer,Train
14," digital marketing, seo, social media marketing, content marketing, email marketing, sem, google analytics, campaign management, facebook, media management",Social Media Marketing Manager,Train
16," Help Desk, Customer Service, customer relationship, access controls, Asset Management, Vendor Management",Senior Design Engineer,Train
17," Report Generation, Policies, analytical, procedures, Analysts, Data Entry, analytical skills",Accounts Manager,Train
18,"Copyright, Email, jQuery, XML, Javascript, CakePHP, Customer service, Open source, Facebook, CSS3",Software Developer,Train
19," C#, MS Dynamics CRM, Microsoft Dynamics, ms dynamics",Software Developer,Train
20," sales manager, business development manager, relationship manager, brokers, insurance sales, channel sales, direct sale, direct marketing, sales, Marketing Executive, Territory Sales Manager",Sales Officer,Train
21," lead generation, business development, corporate sales",Sales/Business Development Manager,Train
22," contract management, closing, it services, relationship building, managed services, selling, market research, business development manager, sales",Sales/Business Development Manager,Train
23, QA Executive,Quality Assurance/Quality Control Executive,Train
24," Java EE, JMS, Core Java, JUnit, Weblogic, HTML, JPA, JSON, SOAP, SQL",Software Developer,Train
25," Conceptualization, Architecting, Continuous improvement, SIDE, development, Front end, it",Software Developer,Train
26, Articulate Storyline,Graphic/Web Designer,Train
27," Area Sales Management, Retail Sales, FMCG, Chocolate, confectionary, ASM, Area Sales Manager, area business manager",Area Sales Manager,Train
28," C#, Java, OOP, C++, Multithreading, UML, OOAD, OOPS, .Net, debugging",Software Developer,Train
29," qmail, workflow, nagios, windows server, networking, mysql, monitoring, redhat, maintaining, centos",System Administrator,Train
30," Java, JPA, Hibernate, Project Management, JDBC, Scrum Master, Microservices, Agile, SOAP, Rest",Project Manager-IT/Software,Train
32,"Java, java api, Banking, j2ee, API, finance, core java, microservices",Software Developer,Train
33,"GIS, ISO 27001, HR, information system, process, ISO 9001, Information security management, GIS software, Management, Edge",Project Lead,Train
35," Administration, Administrative Support, Contract Logistics, Staff Development, Site Management, Quality Improvement, warehousing, Warehouse Operations",Logistics Executive,Train
36," filing, tds, service industry, pf, esi, returns, coaching, payroll, invoice, tally",Accounts Executive/Accountant,Train
37," Outbound, Antivirus, Technical support, Sales, Spot, Inbound calls, pay, Medical, Comp",Associate/Senior Associate -(NonTechnical),Train
38," Troubleshooting, DNS, DHCP, Monitoring, Virtualization, Shell scripting, Python, VMS, Open source, Archiving",Technical Support Manager,Train
39,"4G, 3GPP, 3G, System Architect, LTE, Radio Access Network, PhD, IEEE",Technical Architect,Train
40,"arm processor,c,device drivers,embedded linux,linux kernel,ipc",Software Developer,Train
42," market, presentation, strong analytical skills, english, presentation skills, developing, customer interaction",Sales/Business Development Manager,Train
43," fixed assets, accounts payable, record to report, general accounting, general ledger",Associate/Senior Associate -(NonTechnical),Train
44," Team management, Regional sales, Management",Regional Manager,Train
